"Lines added per FTE per month","Lines deleted per FTE per month","Day of the week",Month,"Commits per FTE per month","FTE count",Year,"Year and month","Lines added","Commit count"
1135.0000,1.0000,Tuesday,August,2.0000,1,2010,2010-8,1135,2
0.0000,0.0000,Sunday,October,1.0000,1,2010,2010-10,0,1
2.0000,2.0000,Monday,November,1.0000,1,2010,2010-11,2,1
5.6667,5.3333,Friday,January,1.0000,3,2011,2011-1,17,3
5.8333,1.5000,Sunday,February,1.0000,6,2011,2011-2,35,6
94.3333,16.0000,Thursday,March,1.6667,3,2011,2011-3,283,5
1.5000,1.5000,Saturday,April,1.0000,2,2011,2011-4,3,2
2.5000,0.5000,Saturday,May,1.0000,2,2011,2011-5,5,2
235.0000,90.0000,Monday,June,6.0000,1,2011,2011-6,235,6
1.0000,1.0000,Wednesday,July,1.0000,1,2011,2011-7,1,1
1.0000,1.0000,Monday,August,1.0000,1,2011,2011-8,1,1
8.0000,0.6667,Thursday,September,1.0000,3,2011,2011-9,24,3
27.0000,5.0000,Thursday,November,3.5000,2,2011,2011-11,54,7
5.0000,9.0000,Sunday,December,3.0000,1,2011,2011-12,5,3
5.0000,3.6667,Friday,January,2.0000,3,2012,2012-1,15,6
3.5000,1.5000,Monday,February,1.5000,2,2012,2012-2,7,3
1846.5000,1.5000,Friday,March,1.0000,2,2012,2012-3,3693,2
32.3333,1.3333,Friday,April,1.1667,6,2012,2012-4,194,7
3.0000,3.0000,Friday,May,4.5000,2,2012,2012-5,6,9
30.0000,8.5000,Wednesday,June,2.0000,2,2012,2012-6,60,4
58.0000,19.5000,Sunday,July,3.0000,2,2012,2012-7,116,6
23.6667,3.0000,Saturday,August,1.6667,3,2012,2012-8,71,5
1.0000,1.0000,Friday,September,1.0000,2,2012,2012-9,2,2
2.5000,1.5000,Friday,October,1.0000,2,2012,2012-10,5,2
4.5000,10.5000,Friday,November,1.0000,2,2012,2012-11,9,2
1.8000,1.6000,Sunday,December,1.0000,5,2012,2012-12,9,5
